,Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,Domain,These: Titel,These: These,Position: Position,Position: Begründung
916,5,DIE LINKE,DIE LINKE,25,1,Austritt aus der EU,Deutschland soll aus der Europäischen Union austreten.,stimme nicht zu,"Die Verträge der Europäischen Union sind zu sehr auf Neoliberalismus und Freihandel ausgerichtet. Das europäische  Parlament hat zu wenig Rechte. Die Verpflichtung der Mitgliedstaaten, die Militärausgaben jedes Jahr zu steigern, lehnen wir ab. Wir kritisieren diese Fehlstellungen der Europäischen Union, weil wir für Europa sind! Für ein solidarisches, gerechtes, friedliches und klimagerechtes Europa. Und weil wir wissen, dass ein anderes, besseres Europa möglich ist."
917,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,25,1,Austritt aus der EU,Deutschland soll aus der Europäischen Union austreten.,stimme nicht zu,"Nein, Deutschlands Mitgliedschaft in einer handlungsfähigen EU ist für sich ein zentrales deutsches Interesse. Kein Land hat mehr profitiert politisch, wirtschaftlich und gesellschaftlich. Nur mit der EU war die deutsche Wiedervereinigung möglich. Wir wollen die EU weiter stärken, um globale Herausforderungen wie die Pandemie und die Klimakrise zu meistern, Europa als Wertegemeinschaft demokratisch zu stärken und im globalen Systemwettbewerb gerechter und handlungsfähiger zu machen."
950,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,26,7,Frauen und Männer auf Landeslisten,Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,neutral,"Die These ist verfassungswidrig. Der zweite Senat des Bundesverfassungsgerichts sowie die Landesverfassungsgerichte von Brandenburg und Thüringen haben entsprechende Paritätsgesetze bereits ablehnend beurteilt. Als Union haben wir es uns aber selbst zum Ziel gesetzt, die verschiedenen Gesellschaftsgruppen möglichst repräsentativ in der Mitgliedschaft und in Ämtern, Funktionen und Mandaten von CDU und CSU abzubilden. Dies gilt insbesondere für die gleichberechtige Teilhabe von Frauen und Männern."
951,2,SPD,Sozialdemokratische Partei Deutschlands,26,7,Frauen und Männer auf Landeslisten,Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,stimme zu,"Wir wollen, dass alle Geschlechter in gleichem Maße an politischen Entscheidungen beteiligt sind. Die SPD sorgt schon lange für eine gleichberechtigte Besetzung von Ämtern und Mandaten. Andere Parteien weigern sich, Frauen eine gleichberechtigte politische Teilhabe zu ermöglichen. Deshalb wollen wir sie mit einem Paritätsgesetz auch für den Bundestag dazu verpflichten, die Männerdominanz zu beenden und für gleichberechtigte Repräsentanz von Frauen und Männern in ihren Parlamentsreihen zu sorgen."
952,3,AfD,Alternative für Deutschland,26,7,Frauen und Männer auf Landeslisten,Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,stimme nicht zu,"Die innere Organisation von Parteien ist weitgehend verfassungsstark geschützt. Dies gilt insbesondere für die Kandidatenauswahl. Ein Eingriff in diese Rechtslage ist daher rechtswidrig. Ein gesetzgeberischer Zwang, Kandidaten nach Geschlechterquoten zu bestimmen, verstößt gegen das fundamentale demokratische Wahlrechtsgebot, wonach jedem Stimmbürger ein gleiches aktives und passives Wahlrecht zusteht."
953,4,FDP,Freie Demokratische Partei,26,7,Frauen und Männer auf Landeslisten,Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,stimme nicht zu,"Die Chancengleichheit von Frauen und Männern in der Politik ist für uns Freie Demokraten ein zentrales Anliegen. Wir wollen, dass sich mehr Frauen in den Parteien politisch engagieren. Eine paritätische Wahlliste geht jedoch an den Ursachen vorbei und schränkt die Wahlfreiheit der Bürgerinnen und Bürger ein. Die Verfassungsgerichte in Thüringen und Brandenburg haben bereits jeweils ein solches Gesetz als verfassungswidrig erklärt."
954,5,DIE LINKE,DIE LINKE,26,7,Frauen und Männer auf Landeslisten,Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,stimme zu,Bei der LINKEN ist das selbstverständlich. Daher liegt der Frauenanteil in der linken Bundestagsfraktion bei über 50 Prozent. 
955,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,26,7,Frauen und Männer auf Landeslisten,Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,stimme zu,Wir brauchen dringend mehr Frauen im Bundestag. Wir Grüne haben den höchsten Frauenanteil aller Fraktionen im Parlament und praktizieren Gleichberechtigung auch bei unseren Listenaufstellungen. Wir setzen uns im Bund für ein Paritätsgesetz ein und werden entsprechende Gesetzesänderungen auf den Weg bringen.
988,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,27,5,Abrechnung über Fallpauschalen,Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden. ,stimme zu,"Wir wollen, dass die Ziele einer bedarfsgerechten und flächendeckenden Grund- und Regelversorgung in der Krankenhausplanung und insbesondere in der Krankenhausfinanzierung wesentlich stärker berücksichtigt werden, gerade mit Blick auf den ländlichen Raum. Wir werden die Finanzierung von Krankenhäusern sichern und dazu auch das aktuelle Fallpauschalensystem weiterentwickeln."
989,2,SPD,Sozialdemokratische Partei Deutschlands,27,5,Abrechnung über Fallpauschalen,Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden. ,stimme nicht zu,Wir stellen das Wohl der Patient*innen und die Arbeitsbedingungen der Beschäftigten als Qualitätsmindestmerkmale in den Mittelpunkt. Die Fallpauschalen werden wir zu einer bedarfsgerechten Grundfinanzierung nach einem modularen Vergütungssystem mit einer ergänzenden leistungs- und qualitätsorientierten Vergütung ausbauen. So wollen wir die Anreize für Mengenausweitung und unnötige OPs beenden und für eine qualitativ hochwertige Versorgung sorgen.
990,3,AfD,Alternative für Deutschland,27,5,Abrechnung über Fallpauschalen,Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden. ,stimme nicht zu,"Die bestehende Finanzierung im Fallpauschalensystem hat sich als Zuteilungs- und Sparsystem mit der ""Heckenschere"" erwiesen. Sie potenziert Verwerfungen und beschleunigt Kliniksterben insbesondere im ländlichen Raum. Die AfD fordert die Einführung eines Individualbudgets für Krankenhäuser, um auch in strukturschwachen Gebieten wohnortnah Notfalleinrichtungen, Abteilungen für Geburtshilfe und insbesondere die stationäre Behandlung von Kindern zu ermöglichen."
991,4,FDP,Freie Demokratische Partei,27,5,Abrechnung über Fallpauschalen,Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden. ,stimme zu,"Fallpauschalen sollen grundsätzlich auch weiterhin die Abrechnungsgrundlage für die Vergütung von Krankenhausleistungen gegenüber den Krankenkassen sein. Sie bieten einen guten Mix aus Grundvergütung und differenzierter Finanzierung der Behandlung unterschiedlicher Krankheiten. Zusätzlich setzen sie einen Anreiz, die zur Verfügung stehenden Ressourcen effizient zu nutzen."
992,5,DIE LINKE,DIE LINKE,27,5,Abrechnung über Fallpauschalen,Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden. ,stimme nicht zu,"Die Fallpauschalen schaffen falsche Anreize. Diagnosen, die sich lohnen, werden öfter gestellt. ""Unprofitable"" Stationen wie Geburtsstationen werden geschlossen. Das ist schlecht für die Versorgung der Bevölkerung. Der Bedarf der Patient*innen steht dann nicht mehr im Mittelpunkt. Wir wollen die Finanzierung so gestalten, dass der tatsächliche Bedarf, also die Betriebskosten, von den Krankenkassen vollständig finanziert werden."
993,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,27,5,Abrechnung über Fallpauschalen,Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden. ,stimme zu,"Wir wollen keine vollständige Abschaffung der DRGs (Fallpauschalen), sondern deren Ergänzung um eine fallzahlunabhängige Vergütung, z.B. für kleinere ländliche Krankenhäuser, Notfallambulanzen und Kinderkliniken."
1026,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,28,4,Steuer auf hohe Vermögen,Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,stimme nicht zu,Wir lehnen zusätzliche Lasten wie eine Wiedereinführung der Vermögensteuer ab. Eine Vermögensteuer würde sowohl Hauseigentümer als auch Mieter belasten und somit das Wohnen für alle verteuern. Sie würde Betriebsvermögen belasten und somit Arbeitsplätze für alle gefährden. Die Vermögensteuer ist eine Wohlstandsbremse.
1027,2,SPD,Sozialdemokratische Partei Deutschlands,28,4,Steuer auf hohe Vermögen,Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,stimme zu,"Wir werden einen maßvollen, einheitlichen Steuersatz von einem Prozent für sehr hohe Vermögen einführen. Gleichzeitig wird es hohe persönliche Freibeträge geben, so dass sich die Steuerbelastung auf besonders vermögende Teile der Bevölkerung konzentriert. Wir stellen sicher, dass mit der Vermögensteuer keine Arbeitsplätze gefährdet werden. Die Grundlage von Betrieben wird bei der Vermögensteuer verschont."
1028,3,AfD,Alternative für Deutschland,28,4,Steuer auf hohe Vermögen,Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,stimme nicht zu,"Grundsätzlich ist es das Ziel der AfD, die Steuer- und Abgabenbelastung in Deutschland deutlich zu senken. Laut OECD wird Deutschland weltweit nur noch von Belgien übertroffen. Zudem ist die Vermögenssteuer bereits 1995 für verfassungswidrig erklärt worden."
1029,4,FDP,Freie Demokratische Partei,28,4,Steuer auf hohe Vermögen,Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,stimme nicht zu,"Eine Wiederbelebung der Vermögensteuer wäre für unsere mittelständisch geprägte Wirtschaft ein Hemmschuh bei der Bekämpfung der wirtschaftlichen Folgen der Coronapandemie, weil den Unternehmen Liquidität unabhängig von deren Ertragslage entzogen wird. Wachstum und Arbeitsplätze würden so gefährdet. "
1030,5,DIE LINKE,DIE LINKE,28,4,Steuer auf hohe Vermögen,Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,stimme zu,"Noch nie waren Vermögen so ungleich verteilt: Die 45 reichsten Deutschen besitzen so viel wie die ärmere Hälfte der Bevölkerung. Wir wollen Vermögen oberhalb von 1 Mio Euro mit 1 Prozent besteuern. Der Steuersatz steigt an auf 5% ab 50 Mio Euro. Die Einnahmen gehen an die Bundesländer: für mehr Lehrkräfte, bessere Schulen, Kitaplätze und Erzieher*innen, bezahlbaren Wohnraum, Gesundheit und Pflege, Schwimmbäder und besseres Internet. Damit würde der Alltag für alle Menschen besser. "
1031,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,28,4,Steuer auf hohe Vermögen,Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,stimme zu,Die Vermögen in Deutschland sind sehr ungleich verteilt. Deshalb wollen wir mit der Vermögensteuer sehr vermögende Menschen stärker an der Finanzierung des Gemeinwesens beteiligen. Sie soll ab einem Vermögen von über 2 Millionen Euro pro Person greifen. Dabei nehmen wir auch die Wirtschaft in den Blick und werden Betriebsvermögen im verfassungsrechtlich erlaubten und wirtschaftlich gebotenen Umfang begünstigen und zusätzliche Investitionsanreize schaffen.
1064,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,29,2,Gesichtserkennung bei Videoüberwachung,Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,stimme zu,"An öffentlichen Gefahrenorten wie etwa vor und in Fußballstadien, an Bahnhöfen sowie in Bussen und Bahnen wollen wir den intelligenten Videoschutz weiter ausbauen. Dabei wollen wir die Chancen der Digitalisierung und der Künstlichen Intelligenz noch besser nutzen. Um die Fahndung nach schweren Straftätern, Gefährdern und Terroristen zu verbessern, wollen wir die Voraussetzungen dafür schaffen, dass die automatisierte Gesichtserkennung an Gefahrenorten in Deutschland eingesetzt werden kann."
1065,2,SPD,Sozialdemokratische Partei Deutschlands,29,2,Gesichtserkennung bei Videoüberwachung,Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,stimme nicht zu,"Videoüberwachung kann an Kriminalitätsschwerpunkten den Schutz der Bürgerinnen und Bürger vor Kriminalität erhöhen. Vor allem hilft sie bei der Aufklärung und Strafverfolgung. Die Kopplung mit einer Gesichtserkennung lehnen wir dagegen ab. Sie ist ein gefährlicher Eingriff in die Selbstbestimmung der Menschen. Wir wollen deshalb grundsätzlich sicherstellen, dass der Einsatz von Künstlicher Intelligenz niemals unserem freiheitlich-demokratischen Grundverständnis zuwiderläuft."
1066,3,AfD,Alternative für Deutschland,29,2,Gesichtserkennung bei Videoüberwachung,Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,neutral,"Automatisierte Gesichtserkennungssoftware kann nicht nur von Behörden genutzt werden, sondern auch von privaten Unternehmen, die wiederum auf im Internet gesammelte Fotos zurückgreifen. Solange es keine eindeutigen datenschutzgerechten Nutzungs- und Kontrollvorgaben gibt, besteht hier ein nicht ausreichend kalkulierbares Missbrauchspotential."
1067,4,FDP,Freie Demokratische Partei,29,2,Gesichtserkennung bei Videoüberwachung,Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,stimme nicht zu,Wir Freie Demokraten fordern ein Recht auf Anonymität im öffentlichen Raum und lehnen den Einsatz der automatisierten Gesichtserkennung ab. Videoüberwachung ist kein Ersatz für Beamtinnen und Beamte und kein Allheilmittel. Durch den Einsatz von Software zur automatisierten und massenhaften Gesichtserkennung im öffentlichen Raum droht eine Totalüberwachung. Eineflächendeckende Videoüberwachung lehnen wir daher ab.
1068,5,DIE LINKE,DIE LINKE,29,2,Gesichtserkennung bei Videoüberwachung,Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,stimme nicht zu,"Es wird gern behauptet, dass Videoüberwachung die Kriminalität senken würde. Wissenschaftliche Erkenntnis deuten darauf hin, dass das nicht stimmt. Gute Beleuchtung eines Parkplatzes z.B. senkt die Kriminalität stärker als Videokameras. Jeder Mensch hat das Recht, sich frei zu bewegen und selbst zu bestimmen, wo er gefilmt oder fotografiert wird. Das ist das Recht auf informationelle Selbstbestimmung - ein Grundrecht in unserem Land."
1069,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,29,2,Gesichtserkennung bei Videoüberwachung,Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,stimme nicht zu,"Ein funktionierender, demokratischer Rechtsstaat muss Sicherheit gewährleisten und die ihn konstituierenden Freiheitsrechte wahren. Demokratien leben davon, dass es grundsätzlich unüberwachte öffentliche Räume gibt, in denen sich Menschen frei bewegen und äußern können. Videoüberwachung kann an Gefahrenschwerpunkten eine sinnvolle Maßnahme sein. Den Einsatz biometrischer Identifizierung auf Grundlage algorithmischer Verfahren im öffentlichen Raum, wie z.B. Gesichtserkennung, lehnen wir aber ab."
1102,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,30,5,Ehepaare ohne Kinder,Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,stimme zu,"Für uns gehört das Ehegattensplitting zur Lebens- und Wirtschaftsgemeinschaft, die Ehepartner mit der Eheschließung eingehen. Wir halten am Ehegattensplitting fest und wollen unabhängig davon zusätzlich Ansätze entwickeln, um Kinder über ein Kindersplitting positiv zu berücksichtigen."
1103,2,SPD,Sozialdemokratische Partei Deutschlands,30,5,Ehepaare ohne Kinder,Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,stimme zu,"Wir werden das Ehegattensplitting für neu geschlossene Ehen ändern und für bestehende Ehen ein Wahlrecht einführen. Ziel ist, das Steuerrecht stärker auf Partnerschaftlichkeit hin auszurichten und die zu zahlenden Steuern bei unterschiedlich hohen Einkommen gerechter zwischen den Eheleuten zu verteilen. Normalverdienende auch ohne Kinder werden keine Einbußen erleiden."
1104,3,AfD,Alternative für Deutschland,30,5,Ehepaare ohne Kinder,Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,stimme zu,"Ehepaare werden steuerlich so behandelt, wie dies nach Art. 6 GG geboten ist. Danach ""stehen Ehe und Familie unter dem besonderen Schutz des Staates"". Soweit Eheleute ihren Unterhalt selbst besorgen, sind sie  - mit oder ohne Kinder - eine Wirtschafts- und Erwerbsgemeinschaft und dies, solange sie verheiratet sind. Ihr Gesamteinkommen ist daher vor Steuern gleichmäßig aufzuteilen, so das Bundesverfassungsgericht gegen eine davon abweichende Praxis der Gesetzgebung bereits in den 50er-Jahren."
1105,4,FDP,Freie Demokratische Partei,30,5,Ehepaare ohne Kinder,Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,stimme zu,"Wir halten am Splittingverfahren für Ehe- und eingetragene Lebenspartnerschaften fest. Das Bundesverfassungsgericht sieht darin keine Steuervergünstigung, sondern stellt eine ,,an dem Schutzgebot des Art. 6 Abs. 1 GG und der wirtschaftlichen Leistungsfähigkeit der Ehepaare (Art. 3 Abs. 1 GG) orientierte sachgerechte Besteuerung"" dar. Die Möglichkeit einer Zusammenveranlagung Verheirateter hat auch eine Kehrseite, nämlich die Unterhaltspflicht, die für unverheiratete Paare gerade nicht gilt."
1106,5,DIE LINKE,DIE LINKE,30,5,Ehepaare ohne Kinder,Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,stimme nicht zu,Das Ehegattensplitting ersetzen wir durch familien- und geschlechtergerechte Steuermodelle. Der Übergang wird  sozialverträglich geregelt. Das nicht ausgeschöpfte steuerliche Existenzminimum (Steuerfreibetrag) bleibt zwischen Eheleuten bzw. Lebenspartner*innen übertragbar.
1107,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,30,5,Ehepaare ohne Kinder,Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,neutral,"Wir wollen das Ehegattensplitting reformieren. Bereits verheiratete Paare können sich entscheiden, ob sie sich einzeln veranlagen oder weiterhin das Ehegattensplitting nutzen wollen. Für neu geschlossene Ehen wollen wir eine individuelle Besteuerung mit übertragbarem Grundfreibetrag einführen. Bei der Lohnsteuer soll die*der heute über Gebühr belastete Zweitverdiener*in entlastet werden, indem das Faktorverfahren zur Regel und die Steuerklasse 5 für Zuverdiener*innen abgeschafft wird. "
1140,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,31,7,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,neutral,"Schon heute werden Ökobetriebe deutlich stärker gefördert. Sie betreiben eine der besonders nachhaltigen Formen der Landwirtschaft, die wir honorieren wollen. Wir werden jedem Bauern helfen, der auf ökologischen Landbau umstellen will. Die Verbraucher sollen ihre Nachfrage nach ökologischen Lebensmitteln möglichst mit heimischer regionaler Ware decken können."
1141,2,SPD,Sozialdemokratische Partei Deutschlands,31,7,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme zu,"Die Landwirtschaft hat bei der Bekämpfung des Klimawandels und dem Erhalt der Artenvielfalt eine zentrale Rolle. Wir werden daher die Agrarförderung so ausrichten, dass eine umweltschonende Landwirtschaft im Wettbewerb mithalten kann. Lebensmittel sind unsere Lebensgrundlage. Sie sollten auch den Landwirt*innen ihre Lebensgrundlage sichern. Grundsätzlich gilt: öffentliches Geld (Förderung) für öffentliche Leistung!"
1142,3,AfD,Alternative für Deutschland,31,7,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme nicht zu,"Alle Pläne zu den neuen Agrarumweltmaßnahmen kosten die Landwirtschaft mehr Geld. Zwar werden Finanzmittel für die Landwirte bereitgestellt, wenn sie sich an den sog. Eco-Schemes beteiligen, aber dieser Betrag wurde an der Basisprämie gekürzt. Mit anderen Worten: Es gibt kein ""frisches Geld"" für gesellschaftliche Mehranforderungen. Wir finden nicht, dass die ökologische Landwirtschaft auf Kosten der konventionellen Landwirtschaft stärker subventioniert werden soll."
1143,4,FDP,Freie Demokratische Partei,31,7,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme nicht zu,"Wir Freie Demokraten wollen die Rahmenbedingungen sowohl für die konventionelle als auch die ökologische Landwirtschaft weiter durch marktwirtschaftliche Reformen verbessern. Im steten Dialog mit den landwirtschaftlichen Betrieben müssen dabei auch die Agrarsubventionen sukzessive abgebaut werden. Die Zahlung von Agrarsubventionen an Betriebe, die diese nicht benötigen, lehnen wir bereits heute ab."
1144,5,DIE LINKE,DIE LINKE,31,7,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme zu,"Wir wollen Anbausysteme fördern, die Klima, Böden, Tiere und Pflanzen besonders schützen. Dazu wollen wir ein umfassendes Förder- und Weiterbildungsprogramm für Landwirt*innen entwickeln."
1145,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,31,7,Ökologische Landwirtschaft,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme zu,"Der Ökolandbau erbringt für die Gesellschaft hohe Leistungen, z.B. was den Erhalt der Bodenfruchtbarkeit oder der Artenvielfalt angeht. Gleichzeitig ist der Aufwand höher als bei einer konventionellen Bewirtschaftung, weil etwa Wildkräuter nicht einfach mit chemisch-synthetischen Pestiziden bekämpft werden. Daher sollte der Ökolandbau auch stärker gefördert werden."
1178,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,32,6,Islamische Verbände,Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,neutral,"Wir bekennen uns zum Kooperationsmodell zwischen Kirche und Staat und halten es für richtig, dass die islamischen Religionsgemeinschaften an dieses Modell herangeführt werden. Voraussetzung ist der Status einer Körperschaft des öffentlichen Rechts, der allen Religionsgemeinschaften offensteht, die entsprechende Voraussetzungen erfüllen. Es ist uns wichtig, dass sich ein friedlicher Islam in Deutschland so organisiert, dass er Dialogpartner von Staat und Gesellschaft sein kann."
1179,2,SPD,Sozialdemokratische Partei Deutschlands,32,6,Islamische Verbände,Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,stimme zu,"Religionsgemeinschaften können sich in Deutschland selbst tragen - durch Förderung, Staatsverträge oder Körperschaftsstatus. Politik und Zivilgesellschaft sind sich lange einig: Es braucht stärkere muslimische Kooperationspartner. Wir wollen verschiedene Kooperationsformen stärken und suchen nach neuen Wegen der Zusammenarbeit (z.B. in Hamburg, NRW oder Hessen). Es geht um die Anerkennung ihrer Religion, aber auch ihrer Leistungen, die sie in der Gemeinde-, Jugend- oder Seniorenarbeit einbringen"
1180,3,AfD,Alternative für Deutschland,32,6,Islamische Verbände,Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,stimme nicht zu,"Da die islamischen Gemeinschaften in Deutschland keine kirchenähnliche Struktur aufweisen, kann ihnen das Privileg einer solch staatlich anerkannten Religionsgemeinschaft nicht gewährt werden."
1181,4,FDP,Freie Demokratische Partei,32,6,Islamische Verbände,Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,stimme zu,"Wir wollen das Staatskirchenrecht zu einem Religionsverfassungsrecht weiterentwickeln. Es soll einen passenden rechtlichen Status bieten für alle Religionsgemeinschaften, die das Gleichheitsgebot und die Glaubensvielfalt, die Grundrechte sowie die Selbstbestimmung ihrer Mitglieder anerkennen. Im Zuge dessen muss der Verfassungsauftrag der Ablösung derStaatsleistungen vollzogen werden. Ziel muss es sein, dass Glaubensgemeinschaften nicht aus dem Ausland gesteuert und finanziert werden."
1182,5,DIE LINKE,DIE LINKE,32,6,Islamische Verbände,Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,stimme zu,DIE LINKE tritt für die rechtliche Gleichstellung aller Religions- und Weltanschauungs-Gemeinschaften ein. 
1183,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,32,6,Islamische Verbände,Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,stimme zu,"Muslimisches Leben in seiner Vielfalt gehört zu unserer gesellschaftlichen Realität. Der Staat darf keine Religion diskriminieren oder ungerechtfertigt bevorzugen. Wir unterstützen Staatsverträge mit islamischen Religionsgemeinschaften, die in keiner strukturellen Abhängigkeit zu einem Staat, einer Partei oder politischen Bewegung und deren oder dessen jeweiliger Regierungspolitik stehen und sich religiös selbst bestimmen. Wir wollen auch progressive, liberale muslimische Vertretungen einbinden."
1216,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,33,5,Anstieg des CO2-Preises,Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,neutral,Wir wollen den Aufwuchspfad der CO2-Bepreisung straffen und so schnell wie möglich zu einem Europäischen Emissionshandel für Mobilität und Wärme übergehen. Mit den Einnahmen aus dem CO2-Preis wollen wir die EEG-Umlage abschaffen und so für eine Entlastung beim Strompreis sorgen.
1217,2,SPD,Sozialdemokratische Partei Deutschlands,33,5,Anstieg des CO2-Preises,Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,stimme nicht zu,"Wir wollen klimafreundliche Alternativen für alle zur Verfügung stellen und die Infrastruktur nach einem klimafreundlichen Gesamtplan umbauen. Und zwar jetzt! Eine Klimapolitik, die dagegen in erster Linie an der Preisschraube dreht, halten wir für falsch. Damit wird nicht nur der oder die Einzelne überfordert, die Gesellschaft wird auch gespalten in diejenigen, die sich höhere Preise leisten können und in die, die sich das eben nicht leisten können."
1218,3,AfD,Alternative für Deutschland,33,5,Anstieg des CO2-Preises,Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,stimme nicht zu,Jegliche Form der CO2-Besteuerung ist abzuschaffen.
1219,4,FDP,Freie Demokratische Partei,33,5,Anstieg des CO2-Preises,Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,neutral,"Den Preis für CO2 sollte nicht der Staat festlegen. Er sollte sich im Rahmen eines Emissionshandels am Markt bilden. Die Politik gibt vor, wie viel CO2 im Jahr ausgestoßen werden darf. Für den Ausstoß müssen Zertifikate erworben werden, die von Jahr zu Jahr weniger und damit teurer werden. Um die sozialen Kosten des Klimaschutzes abzumildern, wollen wir eine Klimadividende einführen, die pauschal pro Kopf ausgezahlt wird. Zudem wollen wir die EEG-Umlage abschaffen und die Stromsteuer absenken. "
1220,5,DIE LINKE,DIE LINKE,33,5,Anstieg des CO2-Preises,Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,neutral,"Mieter*innen haben kaum Einfluss auf die Art der Heizung, sollen aber den CO2-Preis zahlen - ungerecht. Menschen, die auf ihr Auto angewiesen sind, um zur Arbeit zu kommen und keine anderen Verkehrsmittel haben, werden mit einem höheren CO2-Preis nur ärmer, können das Auto aber kaum stehen lassen. Deshalb will DIE LINKE zunächst mehr Förderung für energetische Sanierungen, den ÖPNV ausbauen und kostenfrei und Bahnfahren billiger machen. Und soziale Ausgleichzahlungen für alle, die es brauchen."
